R,Team,P,W,D,L,GF,GA,GD,Pts,Form,SpG,Yellow,Red,Possession%,Pass Success%,Fouls pg,Pens Against,Pens For,Pens +/- (F - A)
1,Manchester United,19,18,1,0,49,12,+37,55,WWWWWW,18.2,16,1,55.7,82.3,10,1,2,1
2,Chelsea,19,14,3,2,39,13,+26,45,WWWWWD,19.9,27,1,58,84.1,11.2,2,5,3
3,Manchester City,19,13,4,2,34,12,+22,43,DWWWWW,16.1,28,3,52.3,83.4,12.2,2,8,6
4,Liverpool,19,12,4,3,37,14,+23,40,DWWWWL,16.7,23,1,52.2,77.9,11.9,3,3,0
5,Arsenal,19,11,4,4,33,15,+18,37,WDDDWL,18.4,30,3,60.9,84.7,12.3,3,4,1
6,Tottenham,19,9,9,1,30,19,+11,36,DWDDDW,20.2,28,1,54.9,79.9,10,3,5,2
7,Bolton,19,10,5,4,34,24,+10,35,WWWWLL,16.3,29,4,46.2,68.8,13.2,1,5,4
8,Stoke,19,10,4,5,31,18,+13,34,DWDWWL,15.7,30,0,40.2,63.1,11.1,0,1,1
9,Everton,19,9,7,3,31,23,+8,34,DWDWWW,16.9,27,3,51,75.5,13,0,2,2
10,Fulham,19,8,7,4,30,23,+7,31,DWWWLD,16,28,1,50.6,76.4,12.4,1,3,2
11,Aston Villa,19,8,7,4,26,19,+7,31,WLWDDW,14.4,35,1,48.2,74.1,11.9,0,2,2
12,West Bromwich Albion,19,8,6,5,30,30,0,30,DDWLWW,17.2,28,3,48.7,78.2,11.2,2,2,0
13,Blackburn,19,7,7,5,22,16,+6,28,DDDLWD,13.4,25,1,40.8,64.2,12.8,3,0,-3
14,Wolverhampton Wanderers,19,8,4,7,30,30,0,28,WDLDWL,13.4,27,0,51.9,70.8,12.3,3,1,-2
15,Newcastle United,19,6,8,5,41,27,+14,26,DLWDWD,15.7,32,1,52.1,77.4,12.3,1,4,3
16,Sunderland,19,7,5,7,25,27,-2,26,LLLWLL,15.1,24,2,49.7,72.8,10.3,3,4,1
17,Birmingham,19,6,8,5,19,22,-3,26,LLWWDL,12.1,23,2,50.3,72.5,11,2,1,-1
18,Wigan,19,5,8,6,22,34,-12,23,WLWDDW,15.3,27,1,53.3,77,12.7,4,2,-2
19,Blackpool,19,5,5,9,30,37,-7,20,LLLDDW,15.4,22,0,51.4,75.7,12.4,1,3,2
20,West Ham,19,5,5,9,24,31,-7,20,WWLLDL,17,23,0,45,75.4,11.8,4,5,1
