R,Team,P,W,D,L,GF,GA,GD,Pts,Form,SpG,Yellow,Red,Possession%,Pass Success%,Fouls pg,Pens Against,Pens For,Pens +/- (F - A)
1,Manchester United,19,11,3,5,34,16,+18,36,LWWDWW,19.1,38,3,59.9,81.2,12.2,2,3,1
2,Chelsea,19,10,4,5,35,18,+17,34,WDWWLW,15.8,26,4,57,78,13.1,4,4,0
3,Aston Villa,19,9,5,5,23,23,0,32,WLWWWL,12.1,36,2,46.5,71.8,14.2,6,4,-2
4,Arsenal,19,8,4,7,35,26,+9,28,WWDLLL,15.6,32,0,58.3,78.7,12.8,4,1,-3
5,Manchester City,19,6,9,4,32,25,+7,27,WDWWDD,12.5,28,2,52.2,75.1,12,4,1,-3
6,Tottenham,19,7,5,7,27,29,-2,26,WWLLWL,14.6,32,1,52.1,74.6,13.2,7,1,-6
7,Everton,19,5,7,7,25,28,-3,22,DWDDWD,13.2,37,1,48.9,74.5,15.3,0,3,3
8,Liverpool,19,5,6,8,18,20,-2,21,DLLDWD,13.7,34,3,57.6,77.6,13.2,2,1,-1
9,Stoke,19,4,8,7,10,27,-17,20,DWDLWL,9.6,34,2,39.9,64.4,12.2,3,0,-3
10,Birmingham,19,5,2,12,19,34,-15,17,WLLLLL,11.3,39,0,45.9,69,12.2,3,0,-3
11,Wolverhampton Wanderers,19,4,5,10,19,34,-15,17,WDWLDL,9.8,39,3,44.5,67.2,15,4,0,-4
12,Bolton,19,4,3,12,16,36,-20,15,WLLLWL,13.2,39,3,43.3,63.6,15.5,2,2,0
13,Blackburn,19,3,5,11,13,37,-24,14,LLWDDW,11.9,30,1,44.1,64.2,15.3,1,2,1
14,Wigan,19,3,2,14,18,55,-37,11,LLLLLL,13.4,38,3,50.4,74.2,13.9,6,2,-4
15,Fulham,19,1,7,11,12,31,-19,10,DLLDLL,10,31,1,48.8,74.6,13.6,2,3,1
16,Sunderland,19,2,4,13,16,37,-21,10,LDLLWL,10.5,36,7,45.7,66.3,14.5,5,2,-3
17,Portsmouth,19,2,4,13,10,34,-24,10,WLLDDL,11.6,32,2,46.8,73.6,14.5,4,3,-1
18,West Ham,19,1,6,12,17,37,-20,9,LLLDLL,12.8,36,2,47.8,76.9,14.9,3,2,-1
19,Hull,19,0,6,13,12,46,-34,6,LLLLDD,11.5,37,2,48.6,71.1,14.3,2,1,-1
20,Burnley,19,1,1,17,17,52,-35,4,LLLWLL,8.6,36,3,43.4,68.2,12.6,4,3,-1
