R,Team,P,W,D,L,GF,GA,GD,Pts,Form,SpG,Yellow,Red,Possession%,Pass Success%,Fouls pg,Pens Against,Pens For,Pens +/- (F - A)
1,Manchester United,38,28,5,5,86,43,+43,89,DWDLWD,14.8,57,1,56.2,85.7,9.9,0,6,6
2,Manchester City,38,23,9,6,66,34,+32,78,LWDWWL,17.4,62,3,58,85,12.4,2,6,4
3,Chelsea,38,22,9,7,75,39,+36,75,DWWDWW,16.5,51,3,54.4,83.2,10.5,1,11,10
4,Arsenal,38,21,10,7,72,37,+35,73,DWDWWW,15.7,42,5,58.2,85.6,10.1,6,5,-1
5,Tottenham,38,21,9,8,66,46,+20,72,WDWDWW,17.9,55,2,53,83.1,10.3,3,0,-3
6,Everton,38,16,15,7,55,40,+15,63,DLWDWL,16.7,59,3,52.9,79.4,11.7,2,2,0
7,Liverpool,38,16,13,9,71,43,+28,61,DDWDWW,19.4,54,2,57.2,84.2,10.6,5,6,1
8,West Bromwich Albion,38,14,7,17,53,57,-4,49,DWLLLD,13.3,63,4,45.9,78.6,11.5,6,7,1
9,Swansea,38,11,13,14,47,51,-4,46,DLDWLL,13.3,59,2,55.3,85,10.8,5,0,-5
10,West Ham,38,12,10,16,45,53,-8,46,DWLDLW,12.9,74,1,43.7,74.2,12.4,2,4,2
11,Norwich,38,10,14,14,41,58,-17,44,LWLLWW,10.9,60,1,43.2,73.9,11.5,6,2,-4
12,Fulham,38,11,10,17,50,60,-10,43,LLLLLW,12.1,48,3,48.9,82.1,10.9,6,6,0
13,Stoke,38,9,15,14,34,45,-11,42,LWWDLD,10.2,78,4,43.3,70.2,12.8,6,5,-1
14,Southampton,38,9,14,15,49,60,-11,41,DDLLDD,13.6,43,2,52.5,77.7,10.8,5,3,-2
15,Aston Villa,38,10,11,17,47,69,-22,41,DLWWLD,11.5,72,3,45.6,77.8,12,8,3,-5
16,Newcastle United,38,11,8,19,45,68,-23,41,LDLDWL,14,72,4,48.6,79.8,12.3,4,4,0
17,Sunderland,38,9,12,17,41,54,-13,39,WWLDDL,11,62,3,43.1,76.1,12,4,4,0
18,Wigan,38,9,9,20,47,73,-26,36,LDWLLD,13.2,66,2,54.4,82.5,11.9,7,1,-6
19,Reading,38,6,10,22,43,73,-30,28,DLDWLL,10.4,45,1,40.7,70.3,10.4,4,4,0
20,Queens Park Rangers,38,4,13,21,30,60,-30,25,LLDLLL,13.2,59,3,44.9,77.2,10.7,3,4,1
