R,Team,P,W,D,L,GF,GA,GD,Pts,Form,SpG,Yellow,Red,Possession%,Pass Success%,Fouls pg,Pens Against,Pens For,Pens +/- (F - A)
1,Manchester United,19,16,0,3,45,19,+26,48,WWLWLW,15.6,23,1,55.9,86.6,10.2,0,2,2
2,Manchester City,19,14,3,2,41,15,+26,45,WWWWWL,17.8,28,0,57.2,85.5,11.6,1,5,4
3,Everton,19,12,6,1,33,17,+16,42,WWWWWW,17.8,30,1,53.6,79.5,11.6,0,1,1
4,Chelsea,19,12,5,2,41,16,+25,41,WWWWDW,19.5,18,2,55.1,84.2,9.8,0,6,6
5,Arsenal,19,11,5,3,47,23,+24,38,WWWDDW,18.3,20,1,58.4,86.4,10.4,3,4,1
6,Tottenham,19,11,5,3,29,18,+11,38,WLDWWW,20.4,26,1,53.6,83,10.3,0,0,0
7,Liverpool,19,9,6,4,33,16,+17,33,WWDDDW,22,19,1,58.7,84.3,9.9,2,4,2
8,West Ham,19,9,6,4,34,22,+12,33,LWDWDW,14.1,26,1,43.2,74.5,12,1,4,3
9,West Bromwich Albion,19,9,4,6,32,25,+7,31,WWLDLD,15.7,27,1,47.1,79.4,11.2,0,5,5
10,Norwich,19,8,7,4,25,20,+5,31,WDDWLW,12.5,33,0,43.9,73.8,11.2,1,2,1
11,Stoke,19,7,7,5,21,22,-1,28,LDLLWL,11.5,33,2,44.4,68.6,12.5,3,2,-1
12,Newcastle United,19,9,1,9,24,31,-7,28,WWWLLL,17,36,1,51.9,82.3,12.3,1,3,2
13,Swansea,19,6,8,5,28,26,+2,26,WLLDDL,16.1,26,2,57.6,86,10.7,1,0,-1
14,Southampton,19,6,7,6,26,24,+2,25,LWWDLD,15.2,23,2,53.7,78,11.2,1,1,0
15,Fulham,19,7,3,9,28,30,-2,24,WWLLLL,14.4,20,3,48.4,81.5,10.6,4,4,0
16,Sunderland,19,5,8,6,20,19,+1,23,DDLWDD,12.6,26,1,45.9,77.1,11.6,3,2,-1
17,Aston Villa,19,5,5,9,23,28,-5,20,LWLDWL,12.4,30,3,47.3,78,11.8,2,2,0
18,Reading,19,4,8,7,23,33,-10,20,LLLDDL,9.7,21,1,40.8,69.9,9.8,2,3,1
19,Wigan,19,4,6,9,26,39,-13,18,LWWDLD,14,28,0,54.7,82.4,12.4,5,1,-4
20,Queens Park Rangers,19,2,8,9,13,28,-15,14,LWDLLL,14.6,22,2,46.9,76.6,9.8,2,2,0
