R,Team,P,W,D,L,GF,GA,GD,Pts,Form,SpG,Yellow,Red,Possession%,Pass Success%,Fouls pg,Pens Against,Pens For,Pens +/- (F - A)
1,Manchester City,19,18,1,0,55,12,+43,55,WWDWWW,21.3,17,2,59.8,87.2,10.4,1,8,7
2,Manchester United,19,15,2,2,52,19,+33,47,WWWWDW,21.3,25,1,60,86.9,10.5,3,9,6
3,Tottenham,19,13,3,3,39,17,+22,42,LDWLWW,20.6,15,0,58.2,86.1,9.5,0,0,0
4,Arsenal,19,12,4,3,39,17,+22,40,WWWLDD,18.4,35,1,61.6,85.5,10.8,1,0,-1
5,Chelsea,19,12,3,4,41,24,+17,39,WDWWLW,19.3,31,1,57.5,86,11.8,2,3,1
6,Newcastle United,19,11,5,3,29,17,+12,38,DWWWWL,15.3,31,0,50.7,77.8,10.2,3,1,-2
7,Fulham,19,10,5,4,36,26,+10,35,WLWDWW,17.4,22,0,49.8,81.6,9.2,1,3,2
8,Everton,19,10,3,6,28,15,+13,33,WLWWWW,15.2,24,2,48,78.2,12.5,2,3,1
9,Swansea,19,8,7,4,27,18,+9,31,WLLWDW,13.3,21,0,59.5,86.1,8.5,2,6,4
10,Stoke,19,7,8,4,25,20,+5,29,WDWDDD,11.3,25,1,41.8,67.7,11.4,3,5,2
11,Sunderland,19,7,7,5,26,17,+9,28,WWDDDL,13.2,27,1,45.7,75,10.1,2,0,-2
12,Liverpool,19,6,9,4,24,16,+8,27,WLDLLW,20.1,23,0,57.3,81.3,10.6,1,3,2
13,Norwich,19,7,6,6,28,30,-2,27,DWDLLW,14.6,25,2,47.6,77.3,9.4,2,2,0
14,Queens Park Rangers,19,7,5,7,24,25,-1,26,DWWWWW,15.4,26,6,46,74,11.4,1,3,2
15,Wigan,19,5,7,7,22,27,-5,22,LDWWWW,15,34,1,51.9,80.8,13.3,2,1,-1
16,West Bromwich Albion,19,6,3,10,21,22,-1,21,WLWWDL,16.1,19,0,47.1,77.6,10.9,4,1,-3
17,Aston Villa,19,4,7,8,20,25,-5,19,WLDDLD,12.7,24,2,46.1,73.8,10.2,4,1,-3
18,Blackburn,19,6,1,12,26,33,-7,19,DWLLWL,14.4,39,1,43,71.6,12.3,2,5,3
19,Bolton,19,4,4,11,23,39,-16,16,WWLDLD,13.3,23,2,47.8,71.3,12.6,0,3,3
20,Wolverhampton Wanderers,19,3,3,13,19,43,-24,12,LLLLLD,13.7,29,3,48.6,75.6,9.1,5,1,-4
