R,Team,P,W,D,L,GF,GA,GD,Pts,Form,SpG,Yellow,Red,Possession%,Pass Success%,Fouls pg,Pens Against,Pens For,Pens +/- (F - A)
1,Chelsea,38,27,5,6,103,32,+71,86,WWLWWW,21.9,54,5,59.9,82.9,12.4,5,12,7
2,Manchester United,38,27,4,7,86,28,+58,85,LDWWWW,18.3,49,4,58.1,80.3,11.7,2,8,6
3,Arsenal,38,23,6,9,83,41,+42,75,WLLDLW,17.4,56,1,59.7,81.4,12.4,6,4,-2
4,Tottenham,38,21,7,10,67,41,+26,70,WWLWWL,17.9,58,1,52.3,76.6,12.2,9,3,-6
5,Manchester City,38,18,13,7,73,45,+28,67,WLDWLD,13.8,49,2,53,76.7,11.9,7,5,-2
6,Aston Villa,38,17,13,8,52,39,+13,64,DWWWLL,13.1,59,2,47.3,72.4,13.4,6,6,0
7,Liverpool,38,18,9,11,61,35,+26,63,DDWWLD,16.9,55,5,58.7,78.9,12.2,4,3,-1
8,Everton,38,16,13,9,60,49,+11,61,DDWWDW,15.5,57,2,51.5,75.6,13.4,2,7,5
9,Birmingham,38,13,11,14,38,47,-9,50,DLDLWL,11.9,74,1,46.8,68.1,11.9,3,3,0
10,Blackburn,38,13,11,14,41,55,-14,50,DDLDWW,12.9,57,2,44.4,64.5,14.8,2,3,1
11,Stoke,38,11,14,13,34,48,-14,47,DLLDWL,10.6,63,5,40.4,63,13,6,2,-4
12,Fulham,38,12,10,16,39,46,-7,46,DDLWLL,12.2,46,1,49.9,74.3,12.3,2,4,2
13,Sunderland,38,11,11,16,48,56,-8,44,WLWWLL,11.7,77,9,46.1,66.7,14.6,6,9,3
14,Bolton,38,10,9,19,42,67,-25,39,LLWDLW,14.7,74,5,43.1,64.2,14.8,3,4,1
15,Wolverhampton Wanderers,38,9,11,18,32,56,-24,38,LDDDLW,11.5,63,4,47.2,68.2,13.8,6,2,-4
16,Wigan,38,9,9,20,37,79,-42,36,LDWLDL,14.6,65,3,52.3,74.8,13.4,7,3,-4
17,West Ham,38,8,11,19,47,66,-19,35,DWLWLD,14.4,62,3,48.9,75.8,14.2,6,9,3
18,Burnley,38,8,6,24,42,82,-40,30,LWLLLW,12.1,57,2,48.9,69.8,12.1,9,6,-3
19,Hull,38,6,12,20,34,75,-41,30,LDLLDD,10.2,64,6,43.5,67.7,14.7,6,7,1
20,Portsmouth,38,7,7,24,34,66,-32,19,DDLDWL,14,68,5,48,74.5,13.5,9,6,-3
