R,Team,P,W,D,L,GF,GA,GD,Pts,Form,SpG,Yellow,Red,Possession%,Pass Success%,Fouls pg,Pens Against,Pens For,Pens +/- (F - A)
1,Manchester City,38,28,5,5,93,29,+64,89,WWWWWW,19.4,51,5,58.2,85.9,11.3,3,8,5
2,Manchester United,38,28,5,5,89,33,+56,89,LWDLWW,17,51,1,57.7,85.3,10.2,3,11,8
3,Arsenal,38,21,7,10,74,49,+25,70,WLDDDW,16.8,64,4,60.2,84.6,10.7,4,3,-1
4,Tottenham,38,20,9,9,66,41,+25,69,LLWWDW,18.4,43,3,56.7,84.8,9.9,1,5,4
5,Newcastle United,38,19,8,11,56,51,+5,65,WWLWLL,12.9,67,2,47.3,76.7,10.8,9,3,-6
6,Chelsea,38,18,10,10,65,46,+19,64,DDWLLW,17.7,74,4,55.8,85,11.3,6,5,-1
7,Everton,38,15,11,12,50,40,+10,56,WDWDDW,13.7,60,2,48,77.3,12.7,4,5,1
8,Liverpool,38,14,10,14,47,40,+7,52,WLWLWL,17.6,53,5,55.5,80.9,10.6,4,6,2
9,Fulham,38,14,10,14,48,51,-3,52,DWLWWL,14.2,54,0,49.4,82,9.9,3,4,1
10,West Bromwich Albion,38,13,8,17,45,52,-7,47,LWWDDL,14.3,48,1,45.8,77,11.1,9,3,-6
11,Swansea,38,12,11,15,44,51,-7,47,LWDDLW,12.4,40,2,58,85.7,8.4,3,6,3
12,Norwich,38,12,11,15,52,66,-14,47,WLLLDW,13.5,58,3,46.8,76,10.7,7,2,-5
13,Sunderland,38,11,12,15,45,46,-1,45,LDDDLL,12.1,60,4,44.6,74.7,10.8,5,2,-3
14,Stoke,38,11,12,15,36,53,-17,45,DLDDLD,9.9,60,2,40.3,69.5,11.9,7,6,-1
15,Wigan,38,11,10,17,42,62,-20,43,WWLWWW,13.7,67,3,50.3,80.4,12.8,7,7,0
16,Aston Villa,38,7,17,14,37,53,-16,38,LDLDDL,11.5,70,2,43.9,73,10.9,7,3,-4
17,Queens Park Rangers,38,10,7,21,43,66,-23,37,WLWLWL,14.2,54,9,45.1,74.4,10.8,3,3,0
18,Bolton,38,10,6,22,46,77,-31,36,DWDLDD,13,50,5,46.6,71.8,12.2,3,6,3
19,Blackburn,38,8,7,23,48,78,-30,31,LLWLLL,11.9,66,5,41.8,72.6,12.1,3,7,4
20,Wolverhampton Wanderers,38,5,10,23,40,82,-42,25,LDLDDL,12.4,64,4,48.2,76.5,9.9,7,4,-3
